,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
0,All the Young Dudes,2018,Sirius Black/Remus Lupin,M/M,"LONG fic charting the marauders' time at Hogwarts (and beyond) from Remus' PoV - diversion from canon in that Remus's father died and he was raised in a children's home, and is a bit rough around the edges. Otherwise canon-compliant.1971 - 1995This IS a wolfstar fic, but incredibly slow burn. Literally years. Long build up but worth it I promise!PLEASE DO NOT COPY TO WATTPAD. SERIOUSLY, WHY??Spotify playlist:https://open.spotify.com/user/htl2006/playlist/3z2NbLq2IVGG0NICBqsN2D?si=Liyl_JKJSx2RUqks3p50kg(Compiled by amazing reader, JustAnotherPerson)DISCLAIMER: I do not support JK Rowling's disgusting transphobic views.NOTE: I AM NO LONGER READING OR REPLYING TO COMMENTS ON THIS FIC",English,"526,969","38,448",188/188,"222,714","41,163","14,896,041"
1,Manacled,2019,Hermione Granger/Draco Malfoy,F/M,"Harry Potter is dead. In the aftermath of the war, in order to strengthen the might of the magical world, Voldemort enacts a repopulation effort. Hermione Granger has an Order secret, lost but hidden in her mind, so she is sent as an enslaved surrogate to the High Reeve until her mind can be cracked.Illustrated by Avendell.",English,"370,515","15,173",77/77,"95,237","27,925","8,713,901"
2,Then Comes a Mist and a Weeping Rain,2011,Draco Malfoy/Harry Potter,M/M,It always rains for Draco Malfoy. Metaphorically. And literally. Ever since he had accidentally Conjured a cloud. A cloud that's ever so cross.,English,"21,139","1,210",1/1,"69,226","13,127","833,964"
3,Draco Malfoy and the Mortifying Ordeal of Being in Love,2022,Hermione Granger/Draco Malfoy,F/M,"Hermione straddles the Muggle and Magical worlds as a medical researcher and Healer about to make a big discovery. Draco is an Auror assigned to protect her from forces unknown – to both of their displeasure.Features hyper-competent, fiery Hermione and lazy, yet dangerous, Draco. Slow burn.",English,"199,548","10,807",36/36,"63,696","20,196","3,078,483"
4,Evitative,2020,Draco Malfoy/Harry Potter,M/M,"In the summer before his fifth year at Hogwarts, Harry is drawn to a room in Grimmauld Place. Like the Gryffindor he is, he enters the room without fear. The room is a library, and Harry is surprised to find that he’s eager to learn.Then he gets the bad news: he’s been accidentally expelled from Hogwarts, and he needs to be sorted again. Everyone is confident that he’ll go straight back to Gryffindor, but with what he's been learning, Harry’s not so sure.",English,"222,453","7,145",29/29,"61,793","17,207","1,900,717"
5,The Standard You Walk Past,2015,Draco Malfoy/Harry Potter,M/M,"On returning to Hogwarts for their Eighth Year, Headmistress McGonagall decided to room Draco Malfoy and Harry Potter together. She may have hoped for a leading example of house unity; the other students fully expected insults and fights. But nothing happened.That was, until Harry sleepwalked into Draco’s bed.Translation links available inside for Indonesian, Chinese, Korean, Russian, Thai, Spanish, Portuguese, and Turkish!Podfic also available (in English)by Gabriel_Audio!",English,"46,202","3,759",14/14,"58,364","11,286","1,009,710"
6,Oh God Not Again!,2015,Hermione Granger & Harry Potter & Ron Weasley,Gen,"So maybe everything didn't work out perfectly for Harry. Still, most of his friends survived, he'd gotten married, and was about to become a father. If only he'd have stayed away from the Veil, he wouldn't have had to go back and do everything AGAIN.",English,"151,872","6,279",50/50,"57,830","14,853","2,232,930"
7,Running on Air,2014,Draco Malfoy/Harry Potter,Multi,Draco Malfoy has been missing for three years. Harry is assigned the cold case and finds himself slowly falling in love with the memories he collects.,English,"74,880","4,632",17/17,"54,313","18,016","1,239,707"
8,Lily's Boy,2022,Draco Malfoy/Harry Potter,F/F,"Before his third year of Hogwarts has even begun, Harry faces three whole weeks of unsupervised time in Diagon Alley. In that time he takes a trip to Gringotts - and that changes everything.Burdened with the knowledge that Dumbledore has been blocking his family magic, and manipulating far more than he ever thought possible, Harry doesn't know who he can trust; but he knows he can't keep going that way. There's a whole world of lore and politics and history to catch up on, and the more he learns, the more Harry realises his true place in the world, and how much is being kept hidden from him. All the while, Dumbledore's twinkling eyes are constantly watching, and Harry can't let on how much he knows.With help from unexpected places, Harry starts on a journey to end the war, and reshape the wizarding world. With how much he looks like James Potter, people have forgotten one important thing about him - he is Lily Evans' son, and she was one hell of a witch.",English,"746,386","10,519",109/109,"54,102","16,432","2,940,682"
9,you've got the antidote for me,2018,Draco Malfoy/Harry Potter,M/M,"When Harry Potter unintentionally severs their soulbond before it can fully form, Draco Malfoy resigns himself to a slow death and decides not to burden Harry with a soulmate he's made it very clear he doesn't want.He's never been selfless before, but for Harry, he can try.",English,"20,730","1,580",1/1,"53,340","14,797","562,203"
